Emotion,Mood_Intensity,Sleep_Quality,Feedback,Age,Gender,Time_of_Day,Location,Weather,Activity,Frequency
Relaxed,5,10,3,24,Female,Night,Public Space,Snowy,Relaxing,5.604170199
Sad,3,2,2,25,Male,Morning,Home,Snowy,Relaxing,5.354281632
Sad,4,1,3,59,Female,Night,Public Space,Sunny,Socializing,5.038704632
Relaxed,5,5,2,19,Male,Night,Home,Cloudy,Working,5.479408513
Happy,3,9,4,60,Male,Morning,Outdoors,Rainy,Relaxing,6.630789793
Happy,4,9,5,58,Male,Morning,Work,Sunny,Exercising,6.18799094
Happy,2,3,5,28,Female,Night,Outdoors,Rainy,Relaxing,6.466513216
Sad,5,9,2,40,Male,Morning,Outdoors,Rainy,Socializing,5.754037113
Sad,3,1,4,55,Female,Evening,Home,Rainy,Exercising,4.974469327
Relaxed,5,8,1,20,Female,Evening,Outdoors,Rainy,Working,6.231731335
Sad,2,4,4,24,Male,Morning,Home,Cloudy,Relaxing,5.547473269
Happy,2,1,1,49,Female,Afternoon,Outdoors,Rainy,Working,5.703063315
Happy,4,9,4,49,Male,Afternoon,Work,Snowy,Exercising,6.084353791
Happy,3,8,1,59,Female,Night,Work,Cloudy,Exercising,5.901518495
Stressed,2,2,5,56,Female,Night,Public Space,Rainy,Socializing,4.42802967
Stressed,1,3,5,29,Male,Night,Outdoors,Snowy,Relaxing,5.171236658
Relaxed,5,2,3,49,Male,Afternoon,Outdoors,Snowy,Relaxing,5.623492771
Stressed,4,7,5,47,Female,Night,Home,Cloudy,Exercising,4.524807848
Relaxed,1,4,3,51,Female,Night,Work,Cloudy,Socializing,5.333037258
Relaxed,4,5,5,28,Female,Night,Outdoors,Rainy,Socializing,6.172659864
Happy,4,2,2,32,Male,Morning,Work,Snowy,Working,6.594061778
Stressed,5,9,2,35,Male,Afternoon,Outdoors,Rainy,Exercising,4.924436547
Relaxed,2,8,5,52,Female,Night,Outdoors,Cloudy,Relaxing,6.231009391
Happy,5,6,4,49,Male,Afternoon,Home,Snowy,Socializing,6.752881028
